c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
bake,shops,bakeshops,2,13.4,1.573218026,1.990441865,0.32796037197113037,0.470223605632782,0.5036150813102722,1
barber,shops,barbershops,2,12.5,0.359919785,0.43043049,0.4167044460773468,0.4420730471611023,0.5323454737663269,1
pawn,shops,pawnshops,2,12.4,0.097973356,0.118726289,0.34918680787086487,0.426575630903244,0.5186446309089661,1
sweat,shops,sweatshops,2,12.2,-0.011308278,0.246067977,0.2184310108423233,0.20929239690303802,0.29329949617385864,1
book,shops,bookshops,2,10.5,-0.17075538899999998,-0.19607315600000003,0.5142295360565186,0.5439470410346985,0.6995618343353271,1
tea,shops,teashops,2,13.0,1.306484599,1.4327814269999999,0.3289673626422882,0.5259595513343811,0.552498459815979,1
work,shops,workshops,2,10.5,-0.17075538899999998,-0.19607315600000003,0.20641253888607025,0.24165572226047516,0.29971322417259216,1
sea,shore,seashore,1,13.0,1.306484599,1.4327814269999999,0.4482532739639282,0.3772921562194824,0.4975402355194092,1
lake,shore,lakeshore,1,13.4,1.573218026,1.990441865,0.6579679250717163,0.33043602108955383,0.6010041832923889,1
sea,shores,seashores,1,13.0,1.306484599,1.4327814269999999,0.41707178950309753,0.4549240469932556,0.5289319157600403,1
eye,shot,eyeshot,2,13.4,1.573218026,1.990441865,0.1927017718553543,0.18522505462169647,0.25721248984336853,1
buck,shot,buckshot,2,10.5,-0.17075538899999998,-0.19607315600000003,0.2476956993341446,0.30243054032325745,0.3567873239517212,1
long,shot,longshot,2,10.3,-0.241733977,-0.182062803,0.08747242391109467,0.18224284052848816,0.18727494776248932,1
sling,shot,slingshot,2,10.3,-0.241733977,-0.182062803,0.43928390741348267,0.28117260336875916,0.47777414321899414,1
slap,shot,slapshot,2,10.2,-0.273012797,-0.30001581899999996,0.22122450172901154,0.4270435869693756,0.4063876271247864,1
head,shot,headshot,2,11.0,-0.135056851,0.061003165,0.0934600979089737,0.2589888572692871,0.23823155462741852,1
