c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
steeple,jacks,steeplejacks,1,7.58,-0.375109519,-0.395965358,0
night,jar,nightjar,1,4.17,-0.378326749,-0.40147118,0
tear,jerker,tearjerker,1,5.58,-0.377482712,-0.401375792,0
fan,jet,fanjet,1,8.4,-0.360360057,-0.351309357,0
prop,jet,propjet,1,4.91,-0.378377957,-0.401470836,0
stock,jobber,stockjobber,1,3.85,-0.377996551,-0.401422283,0
hand,kerchief,handkerchief,1,5.46,-0.377000657,-0.400667768,0
latch,keys,latchkeys,1,5.91,-0.378215506,-0.401471752,0
side,kick,sidekick,1,9.97,-0.326715108,-0.265353111,0
lime,kiln,limekiln,1,9.97,-0.326715108,-0.265353111,0
woman,kind,womankind,1,10.5,0.188965162,0.024767644,0
blathers,kite,blatherskite,1,10.2,-0.248645194,-0.274394471,0
draw,knife,drawknife,1,7.07,-0.373716328,-0.398116913,0
jack,knives,jackknives,1,6.42,-0.377910028,-0.4014019,0
pen,knives,penknives,1,10.5,0.188965162,0.024767644,0
stump,knocker,stumpknocker,1,6.47,-0.376647504,-0.398501327,0
top,knot,topknot,1,6.47,-0.376647504,-0.398501327,0
land,ladies,landladies,1,9.76,-0.318197042,-0.33488751,0
gray,lag,graylag,1,9.07,-0.363695593,-0.391973263,0
grey,lag,greylag,1,9.07,-0.363695593,-0.391973263,0
blow,lamp,blowlamp,1,8.85,-0.361912167,-0.374591008,0
free,lance,freelance,1,12.4,1.121993596,0.816758549,0
free,lancer,freelancer,1,12.4,1.121993596,0.816758549,0
free,lancers,freelancers,1,12.4,1.121993596,0.816758549,0
free,lances,freelances,1,12.4,1.121993596,0.816758549,0
screen,land,screenland,1,10.1,-0.240944679,-0.258844284,0
hinter,land,hinterland,1,10.8,-0.173428762,-0.141981303,0
march,land,marchland,1,9,-0.36699758,-0.389517795,0
moor,land,moorland,1,10.8,-0.173428762,-0.141981303,0
table,land,tableland,1,12.4,1.121993596,0.816758549,0
fen,land,fenland,1,10.1,-0.240944679,-0.258844284,0
head,land,headland,1,9.76,-0.318197042,-0.33488751,0
scrub,land,scrubland,1,11.5,0.005046268,0.078805447,0
gang,land,gangland,1,9.99,-0.290908858,-0.285388135,0
head,lands,headlands,1,9.76,-0.318197042,-0.33488751,0
moor,lands,moorlands,1,10.8,-0.173428762,-0.141981303,0
heart,lands,heartlands,1,10.7,-0.116539239,-0.194382968,0
